"bot"	"statuses_count"	"default_profile"	"default_profile_image"	"friends_count"	"followers_count"	"favourites_count"	"geo_enabled"	"listed_count"	"account_age_hours"	"diversity"	"mean_mins_between_tweets"	"mean_tweet_length"	"mean_retweets"	"reply_rate"
"0"	5331	0	0	983	455	3017	1	49	43303	0.65625	277.909774436	95.1865671642	1.79310344828	0.567164179104
"0"	1471	0	0	1827	995	207	1	45	69525	0.780534351145	1255.85714286	91.0916666667	2.875	0.45
"0"	206	0	0	630	65	25	0	2	31466	0.643119266055	7043.02061856	82.8923076923	1.2	0.0102564102564
"0"	4268	0	0	498	2129	314	0	153	46125	0.378971255673	666.039344262	82.1045751634	1.92682926829	0.565359477124
"0"	4270	0	0	498	2126	315	0	153	46125	0.378971255673	666.039344262	82.1045751634	1.92682926829	0.565359477124
"0"	4270	0	0	498	2126	315	0	153	46125	0.378971255673	666.039344262	82.1045751634	1.92682926829	0.565359477124
"0"	287	1	0	228	18	211	0	0	61327	0.686956521739	3177.87421384	79.61875	1	0.86875
"0"	135	1	0	365	43	4	0	3	43908	0.652951699463	22916.4385965	80.7652173913	1.07142857143	0.208695652174
"0"	134	0	0	1726	188	233	1	10	65182	0.351851851852	16593.3221477	81.7866666667	2.30769230769	0.36
"0"	134	0	0	1728	186	233	1	10	65182	0.351851851852	16593.3221477	81.7866666667	2.30769230769	0.36
"0"	134	0	0	1728	186	233	1	10	65182	0.351851851852	16593.3221477	81.7866666667	2.30769230769	0.36
"0"	8531	1	0	781	534	11	0	38	66443	0.698259187621	543.464788732	56.8461538462	1.25	0.818181818182
"0"	564	0	0	407	233	663	0	15	52818	0.649877149877	3110.4251497	111.988095238	2.65384615385	0.583333333333
"0"	44981	1	0	1407	4266	3454	0	389	56024	0.587515299878	211.063829787	82.582010582	2.1875	0.915343915344
"0"	1659	0	0	3479	4663	572	0	143	19173	0.618556701031	1444.01612903	45.3174603175	2.85714285714	0.825396825397
"0"	716	1	0	398	91	420	1	9	29395	0.762711864407	10200.6923077	90.6428571429	3.33333333333	0.714285714286
"0"	14356	0	0	2067	2017	105	1	135	55994	0.594135802469	163.552447552	83.2986111111	4.45454545455	0.701388888889
"0"	2	1	0	50	47	0	0	0	13231	1	22839	122	14.5	0.5
"0"	170	1	0	138	140	120	0	7	19207	0.824675324675	38740.7142857	91.3793103448	2	0
"0"	2984	0	0	583	4230	636	0	229	30868	0.757894736842	1566.21875	109.608247423	3.01886792453	0.185567010309
"0"	104	0	0	218	59	67	0	14	55371	0.384892086331	13049.0471204	86.65625	1.6	0.572916666667
"0"	105	0	0	218	58	68	0	14	55371	0.384892086331	13049.0471204	86.65625	1.6	0.572916666667
"0"	105	0	0	218	58	68	0	14	55371	0.384892086331	13049.0471204	86.65625	1.6	0.572916666667
"0"	248	0	0	185	68	7	0	3	42938	0.599534342258	11601.0274725	75.3551912568	2.4	0.158469945355
"0"	709	0	0	60	29	95	0	2	33429	0.778523489933	7857.56296296	65.8308823529	1	0.352941176471
"0"	875	0	0	521	1033	239	0	64	21002	0.677506775068	683.096153846	90.7324840764	3.29787234043	0.477707006369
"0"	516	0	0	1520	1320	29	0	6	6678	0.728752260398	1686.25862069	90.8803418803	1.08333333333	0.299145299145
"0"	3441	0	0	832	538	2458	1	49	69990	0.720588235294	870.8	82.1602564103	1.4375	0.211538461538
"0"	996	0	0	276	173	47	0	4	54403	0.33641084824	4293.09711286	61.4502617801	1.125	0.219895287958
"0"	995	0	0	278	173	47	0	4	54403	0.33641084824	4293.09711286	61.4502617801	1.125	0.219895287958
"0"	995	0	0	278	173	47	0	4	54403	0.33641084824	4293.09711286	61.4502617801	1.125	0.219895287958
"0"	30	1	0	333	95	0	0	1	22509	0.345098039216	1942.79245283	120.046728972	2.23404255319	0.0373831775701
